名称,分类
茱萸,果部
盐麸子,果部
五倍,果部
盐肤子,果部
盐梅子,果部
盐坏子,果部
木盐,果部
天盐,果部
叛奴盐,果部
酸桶,果部
胡椒,果部
昧履支,果部
甜瓜,果部
甘瓜,果部
果瓜,果部
瓜瓤,果部
瓜子仁,果部
瓜蒂,果部
西瓜【,果部
寒瓜,果部
葡萄,果部
蒲桃,果部
草龙珠,果部
茗,果部
猕猴桃,果部
猕猴梨,果部
藤梨,果部
陽桃,果部
木子,果部
甘蔗,果部
名竿蔗,果部
遮,果部
沙糖,果部
婴奥,果部
燕奥,果部
婴舌,果部
山葡萄,果部
野葡萄,果部
藤名木龙,果部
莲藕,果部
莲实：藕实、石莲子、水芝、泽芝,果部
苦薏,果部
莲薏即莲子中的青心：苦薏,果部
莲蕊须：佛座须,果部
莲花：芙蓉、芙蕖、水,果部
莲蕊须,果部
莲实,果部
藕,果部
藕节,果部
莲薏,果部
莲花,果部
莲房,果部
荷叶,果部
芰实,果部
水栗,果部
沙角（即通称的菱角）,果部
芡实,果部
鸡头,果部
雁喙,果部
雁头,果部
鸿头,果部
鸡雍,果部
卯,果部
子,果部
水流黄,果部
石蜜,果部
白沙糖（即白糖）,果部
慈姑,果部
藉姑,果部
水萍,果部
河凫茈,果部
白地栗,果部
苗名剪刀草,果部
箭搭草,果部
龙,鳞部
龙骨（按本草所称的龙骨，实为古代多种哺乳动物（包括象、犀牛、马、骆驼、羚羊等）的骨胳化石）,鳞部
龙齿,鳞部
龙骨,鳞部
吊,鳞部
吉吊,鳞部
精名紫梢花,鳞部
鳄鱼,鳞部
土龙,鳞部
鲮鲤,鳞部
龙鲤,鳞部
穿山甲,鳞部
石鲮鱼,鳞部
石龙子,鳞部
山龙子,鳞部
泉龙,鳞部
石蜴,鳞部
晰蜴,鳞部
猪婆蛇,鳞部
守宫,鳞部
守宫,鳞部
壁宫,鳞部
壁虎,鳞部
蝎虎,鳞部
蜓,鳞部
蛤蚧,鳞部
蛤蟹,鳞部
仙蟾,鳞部
蛇蜕,鳞部
蛇皮,鳞部
蛇壳,鳞部
龙退,鳞部
龙子衣,鳞部
龙子皮,鳞部
弓皮,鳞部
蛇符,鳞部
蛇筋,鳞部
蚺蛇,鳞部
南蛇,鳞部
埋头蛇,鳞部
白花蛇,鳞部
蕲蛇,鳞部
褰鼻蛇,鳞部
乌蛇,鳞部
乌梢蛇,鳞部
黑花蛇,鳞部
水蛇,鳞部
公蛎蛇,鳞部
石首鱼,鳞部
石头鱼,鳞部
江鱼,鳞部
黄花鱼,鳞部
干者名想鱼,鳞部
鲥鱼,鳞部
（肉）甘、平、无毒。,鳞部
鲫鱼,鳞部
鲋鱼,鳞部
鳜鱼,鳞部
计鱼,鳞部
石桂鱼,鳞部
水豚,鳞部
金鱼,鳞部
鳢鱼,鳞部
蠡鱼,鳞部
黑鳢,鳞部
玄鳢,鳞部
乌鳢,鳞部
鲷鱼,鳞部
文鱼,鳞部
鳗鲡鱼,鳞部
白鳝,鳞部
蛇鱼,鳞部
干者名风鳗,鳞部
鳝鱼,鳞部
黄鳝,鳞部
鳅鱼,鳞部
泥鳅,鳞部
鲺鱼,鳞部
黄颡鱼,鳞部
黄平面鱼,鳞部
央轧,鳞部
乌贼鱼,鳞部
墨鱼,鳞部
缆鱼,鳞部
干者名鲞,鳞部
骨名海螵蛸,鳞部
肉,鳞部
骨,鳞部
虾,鳞部
海马,鳞部
水马,鳞部
鳔,鳞部
鳔：甘、平、无毒,鳞部
鳔胶：甘、咸、平、无毒,鳞部
鳔,鳞部
鳔胶,鳞部
鱼子,鳞部
鲤鱼,鳞部
肉,鳞部
胆,鳞部
青鱼,鳞部
胆,鳞部
豕,兽部
猪,兽部
豚,兽部
加（一指公猪）,兽部
志（指母猪）,兽部
母猪蹄,兽部
猪胆,兽部
猪脬,兽部
猪胰,兽部
猪肾,兽部
猪肝,兽部
猪油,兽部
加猪肉,兽部
狗,兽部
犬,兽部
地羊,兽部
肉,兽部
狗胆,兽部
羊,兽部
古,兽部
低,兽部
竭,兽部
羊肉,兽部
羊脂,兽部
羊血,兽部
羊肾,兽部
羊肝,兽部
羊胆,兽部
疬胃,兽部
羊角,兽部
脊骨,兽部
胫骨,兽部
羊屎,兽部
牛,兽部
黄牛肉,兽部
牛乳,兽部
牛脑,兽部
角胎（好年听坚骨）,兽部
牛尿,兽部
牛屎（亦牛洞）,兽部
马,兽部
马肉,兽部
白马尿,兽部
白马通,兽部
驴,兽部
驴肉,兽部
驴尿,兽部
骨髓,兽部
驴屎,兽部
驼,兽部
骆驼,兽部
黄,兽部
驼脂,兽部
阿胶,兽部
傅致胶,兽部
黄明胶,兽部
牛皮胶,兽部
水胶,兽部
海犀膏,兽部
牛黄,兽部
丑宝,兽部
鲊答,兽部
狗宝,兽部
虎,兽部
乌徒,兽部
大虫,兽部
李耳,兽部
虎肉,兽部
虎骨,兽部
豹,兽部
名程,兽部
失刺孙,兽部
象,兽部
伽耶,兽部
象牙,兽部
皮,兽部
犀,兽部
似,兽部
犀角,兽部
野猪,兽部
肉,兽部
脂,兽部
熊,兽部
脂,兽部
胆,兽部
羚羊,兽部
九尾羊,兽部
鹿,兽部
斑龙,兽部
白胶,兽部
角,兽部
鹿茸,兽部
麋,兽部
麝,兽部
射父,兽部
香獐,兽部
灵猫,兽部
灵狸,兽部
香狸,兽部
神狸,兽部
类,兽部
猫,兽部
家狸,兽部
湍,兽部
猪獾【,兽部
兔,兽部
明,兽部
肉,兽部
血,兽部
屎（明月砂、玩月砂、兔蕈）,兽部
水獭,兽部
水狗,兽部
鼠,兽部
锥,兽部
老鼠,兽部
首鼠,兽部
家鹿,兽部
胆,兽部
牡鼠,兽部
屎,兽部
猬,兽部
毛刺,兽部
胆,兽部
肉,兽部
皮,兽部
猕猴,兽部
沐猴,兽部
胡孙,兽部
王孙,兽部
马留,兽部
狙,兽部
肉,兽部
屎,兽部
鹤,禽部
仙禽,禽部
胎禽,禽部
白鹤血,禽部
脑,禽部
卵,禽部
鹈鹕,禽部
犁鹕,禽部
乌泽,禽部
逃河,禽部
淘鹅,禽部
鹅,禽部
农雁,禽部
舒雁,禽部
白鹅油,禽部
胆,禽部
鹜,禽部
名鸭,禽部
舒凫,禽部
家凫,禽部
末匹,禽部
治鹜肪,禽部
肉,禽部
凫,禽部
野鸭,禽部
野鹜,禽部
施,禽部
沉凫,禽部
鸡,禽部
烛夜,禽部
白雄鸡肉,禽部
乌雄鸡肉,禽部
乌雌鸡肉,禽部
黄雌鸡肉,禽部
乌骨鸡,禽部
肝,禽部
胆,禽部
鸡内金,禽部
屎白,禽部
鸡蛋,禽部
鸡蛋白,禽部
鸡蛋黄,禽部
鸡蛋壳,禽部
嗉囊,禽部
雉,禽部
野鸡,禽部
鸽,禽部
鹁鸽,禽部
飞奴,禽部
白鸽肉,禽部
屎,禽部
雀,禽部
瓦雀,禽部
宾雀（按：即常见的麻雀）,禽部
雀屎：白丁香、青丹、雀苏,禽部
雀卵,禽部
肉,禽部
雄雀屎,禽部
伏翼,禽部
蝙蝠,禽部
天鼠,禽部
仙鼠,禽部
飞鼠,禽部
夜燕,禽部
伏翼,禽部
天鼠屎,禽部
寒号虫,禽部
独舂,禽部
屎名五灵脂,禽部
斑鸠,禽部
斑佳,禽部
锦鸠,禽部
鹁鸠,禽部
祝鸠,禽部
乌鸦,禽部
鸦乌,禽部
老雅,禽部
预,禽部
匹居,禽部
楚乌,禽部
大嘴乌,禽部
鹊,禽部
飞驳鸟,禽部
喜鹊,禽部
干鹊,禽部
鹰,禽部
角鹰,禽部
鹗,禽部
鱼鹰,禽部
王雎,禽部
沸波,禽部
下窟乌,禽部
雎鸠,禽部
蜂蜜,虫部
蜂糖,虫部
生岩石者名石蜜、石饴、岩蜜,虫部
蜜蜡,虫部
蜜蜂,虫部
蜡蜂,虫部
土蜂,虫部
蜚零,虫部
马蜂,虫部
露蜂房,虫部
蜂肠,虫部
蜂窠,虫部
百穿,虫部
紫金沙,虫部
艺翁,虫部
土蜂,虫部
细腰蜂,虫部
蜾赢,虫部
蒲芦,虫部
虫白蜡,虫部
拒斧,虫部
不过,虫部
其子房名螵蛸、蝉蛸、致神、野狐鼻涕,虫部
螳螂桑螵蛸,虫部
刀螂,虫部
蚕,虫部
自死干名白僵蚕,虫部
原蚕,虫部
晚蚕,虫部
魏蚕,虫部
夏蚕,虫部
热蚕,虫部
雄原蚕蛾,虫部
原蚕沙：（按蚕的粪便）,虫部
九香虫,虫部
黑兜虫,虫部
樗鸡,虫部
红娘子,虫部
灰花蛾,虫部
斑蝥,虫部
斑猫,虫部
蝥虫,虫部
龙蚝,虫部
斑蚝,虫部
芫青,虫部
青娘子,虫部
葛上亭长,虫部
地胆,虫部
芫青,虫部
青,虫部
蜘蛛,虫部
次,虫部
壁钱,虫部
壁镜,虫部
蝎,虫部
主簿虫,虫部
杜白,虫部
虿尾虫,虫部
水蛭,虫部
至掌,虫部
大者名马蜞、马蛭、马蟥、马鳖,虫部
蛆,虫部
蛆是蝇的幼虫,虫部
蛴螬,虫部
地蚕,虫部
乳齐,虫部
应条,虫部
蚱蝉,虫部
调,虫部
齐女,虫部
蝉蜕,虫部
蝉壳,虫部
枯蝉,虫部
腹,虫部
金牛儿,虫部
蜣螂,虫部
推丸,虫部
推车客,虫部
黑牛儿,虫部
铁甲将,虫部
夜游将,虫部
天牛,虫部
天水牛,虫部
八角,虫部
一角者名独角仙,虫部
蝼蛄,虫部
蟪蛄,虫部
天蝼,虫部
蝼蝈,虫部
仙姑,虫部
石鼠,虫部
梧鼠,虫部
土狗,虫部
萤火,虫部
夜光,虫部
熠,虫部
景天,虫部
救火,虫部
据火,虫部
挟火,虫部
衣鱼,虫部
白鱼,虫部
壁鱼,虫部
蠹鱼,虫部
鼠妇,虫部
鼠负,虫部
负蟠,虫部
鼠姑,虫部
鼠粘,虫部
湿生虫,虫部
地鸡,虫部
地虱,虫部
蔗虫,虫部
地鳖,虫部
土鳖,虫部
过街,虫部
蜚蠊,虫部
石姜,虫部
负盘,虫部
滑虫,虫部
茶婆虫,虫部
香娘子,虫部
蜚虻,虫部
虻虫,虫部
蟾蜍,虫部
促秋,虫部
秋施,虫部
菊促,虫部
苦龙,虫部
何皮,虫部
癞蛤蟆,虫部
蟾酥,虫部
蛤蟆,虫部
惊蟆,虫部
蛙,虫部
长股,虫部
田鸡,虫部
青鸡,虫部
坐鱼,虫部
蛤鱼,虫部
蝌蚪,虫部
活师,虫部
活东,虫部
玄鱼,虫部
悬针,虫部
水仙子,虫部
蛤蟆台,虫部
蜈蚣,虫部
蒺藜,虫部
蛆,虫部
天龙,虫部
蚯蚓,虫部
蜮蚓,虫部
劬闰,虫部
坚蚕,虫部
阮善,虫部
蜗牛,虫部
称俞,虫部
山蜗牛,虫部
蜗赢,虫部
蜒蚰赢,虫部
土牛儿,虫部
蛞蝓,虫部
陵蠡,虫部
土蜗,虫部
托胎虫,虫部
鼻涕虫,虫部
蜒蚰螺,虫部
蛔虫,虫部
人龙,虫部
水龟,介部
玄衣督邮,介部
龟甲：神屋、败龟板、败将、漏天机,介部
龟甲,介部
肉,介部
玳瑁,介部
鳖,介部
团鱼,介部
神守,介部
鳖甲,介部
肉,介部
蟹,介部
螃蟹,介部
郭索,介部
横行介士,介部
无肠公子,介部
雌名：博带,介部
牡蛎,介部
牡蛤,介部
蛎蛤,介部
古贲,介部
蚌,介部
真珠,介部
珍珠,介部
蚌珠,介部
石决明【,介部
九孔螺,介部
壳名千里光,介部
海蛤,介部
苦、咸、平、无毒。,介部
蛤蜊,介部
肉,介部
蛤蜊粉,介部
车渠【,介部
海扇,介部
贝子,介部
贝齿,介部
白贝,介部
海,介部
淡菜,介部
壳菜,介部
海,介部
车海夫人,介部
田螺,介部
壳,介部
蜗螺,介部
螺蛳,介部
烂壳名鬼眼睛,介部
韭,菜部
草钟乳,菜部
起陽草,菜部
葱,菜部
芤,菜部
菜伯,菜部
和事草,菜部
鹿胎,菜部
薤,菜部
名叫,菜部
钓子,菜部
火葱,菜部
菜芝,菜部
鸿荟,菜部
蒜,菜部
小蒜,菜部
茆蒜,菜部
荤菜,菜部
葫,菜部
大蒜,菜部
荤菜,菜部
芸薹,菜部
寒菜,菜部
胡菜,菜部
薹菜,菜部
薹芥,菜部
油菜,菜部
芥,菜部
白芥,菜部
胡芥,菜部
蜀芥,菜部
芜菁,菜部
蔓菁,菜部
九英菘,菜部
诸葛菜,菜部
莱菔,菜部
芦,菜部
萝卜,菜部
紫花菘,菜部
温菘,菜部
土酥,菜部
生姜,菜部
干姜,菜部
白姜,菜部
胡荽,菜部
香荽,菜部
胡菜,菜部
荽,菜部
水芹,菜部
芹菜,菜部
水英,菜部
楚葵,菜部
茴香,菜部
茴香,菜部
八角珠,菜部
菠菜,菜部
菠菜,菜部
波斯草,菜部
赤根菜,菜部
荠菜,菜部
护生草,菜部
菥,菜部
大荠,菜部
大蕺,菜部
马辛,菜部
鸡肠草,菜部
苜蓿,菜部
木粟,菜部
光风草,菜部
苋,菜部
马齿苋,菜部
马苋,菜部
五行草,菜部
五方草,菜部
长命菜,菜部
九头狮子草,菜部
苦菜,菜部
名荼,菜部
苦苣,菜部
苦荬,菜部
游冬,菜部
褊巨,菜部
老鹳菜,菜部
天香菜,菜部
莴苣,菜部
名莴菜,菜部
千金菜,菜部
翻白草,菜部
天藕,菜部
鸡腿根,菜部
蒲公英,菜部
名耨草,菜部
金簪草,菜部
黄花地丁,菜部
蕺,菜部
菜,菜部
鱼腥草,菜部
蕨,菜部
薇,菜部
垂水,菜部
野豌豆,菜部
大巢菜,菜部
翘摇,菜部
摇车,菜部
野蚕豆,菜部
小巢菜,菜部
鹿藿,菜部
鹿豆,菜部
劳豆,菜部
野绿豆,菜部
藜,菜部
莱,菜部
红心灰蓼,菜部
鹤顶草,菜部
胭指菜,菜部
芋,菜部
土芝,菜部
蹲,菜部
薯蓣,菜部
薯,菜部
土薯,菜部
山薯,菜部
山芋,菜部
山药,菜部
玉延,菜部
甘薯,菜部
百合,菜部
藩,菜部
强瞿,菜部
蒜脑薯,菜部
竹笋,菜部
竹萌,菜部
竹芽,菜部
竹胎,菜部
竹子,菜部
茄,菜部
落苏,菜部
昆化瓜,菜部
草鳖甲,菜部
壶卢,菜部
瓠瓜,菜部
匏瓜,菜部
苦瓠,菜部
苦瓠,菜部
匏瓜,菜部
枝,菜部
石花菜,菜部
冬瓜,菜部
名白瓜,菜部
水芝,菜部
地芝,菜部
白冬瓜,菜部
瓜练（瓜瓤）,菜部
白瓜子（冬瓜仁）,菜部
瓜皮,菜部
南瓜,菜部
胡瓜,菜部
黄瓜,菜部
丝瓜,菜部
天丝瓜,菜部
天罗,菜部
布瓜,菜部
蛮撤,菜部
鱼,菜部
苦瓜,菜部
锦荔枝,菜部
癞葡萄,菜部
紫菜,菜部
紫软,菜部
石莼,菜部
鹿角菜,菜部
猴葵,菜部
龙须菜,菜部
睡菜,菜部
暝菜,菜部
绰菜,菜部
醉草,菜部
懒妇,菜部
芝,菜部
囚,菜部
青芝,菜部
赤芝,菜部
黄芝,菜部
黑芝,菜部
木耳,菜部
木软,菜部
木菌,菜部
树鸡,菜部
木蛾,菜部
皂荚蕈,菜部
香蕈,菜部
蘑菰蕈,菜部
肉蕈,菜部
鸡菌,菜部
土菌,菜部
杜蕈,菜部
地蕈,菜部
菇子,菜部
地鸡,菜部
獐头,菜部
地耳,菜部
地踏菇,菜部
石耳,菜部
灵芝,菜部
露水,水部
白花露,水部
百花露,水部
柏叶露、菖蒲露,水部
韭叶露,水部
明水,水部
方诸水,水部
冬霜,水部
腊雪,水部
夏冰,水部
亦名凌,水部
半天河,水部
上池水,水部
流水,水部
劳水,水部
甘烂水,水部
扬泛水,水部
井泉水,水部
醴泉,水部
甘泉,水部
温汤,水部
温泉,水部
沸泉,水部
盐胆水,水部
卤水,水部
阿井泉,水部
地浆,水部
热汤,水部
百沸汤,水部
麻沸汤,水部
太和汤,水部
浆水,水部
酸浆,水部
人中黄,人部
人尿,人部
溲,人部
小便,人部
轮回酒,人部
还元汤,人部
乱发,人部
血余,人部
人退,人部
溺白沂,人部
人中白,人部
秋石,人部
人胞,人部
胞衣,人部
胎衣,人部
紫可车,人部
混沌衣,人部
混元母,人部
佛袈裟,人部
仙人衣,人部
部银,金石
白金,金石
鋈,金石
自然铜,金石部
石髓铅,金石部
铜青,金石部
铜绿,金石部
铅霜,金石部
铅白霜,金石部
粉锡,金石部
铅粉,金石部
铅丹,金石部
黄丹,金石部
丹粉,金石部
朱粉,金石部
铅华,金石部
密陀僧,金石部
没多僧,金石部
炉底,金石部
锡,金石部
白,金石部
贺,金石部
铁,金石部
黑金,金石部
乌金,金石部
熟铁,金石部
生铁,金石部
铁粉,金石部
铁落,金石部
铁液,金石部
铁屑,金石部
铁蛾,金石部
铁精,金石部
铁花,金石部
白石英,金石部
水银,金石部
汞,金石部
灵液,金石部
姹女,金石部
水银粉,金石部
汞粉,金石部
轻粉,金石部
峭粉,金石部
腻粉,金石部
粉霜,金石部
水银霜,金石部
白雪,金石部
白灵砂,金石部
银朱,金石部
猩红,金石部
紫粉霜,金石部
灵砂,金石部
二气砂,金石部
雄黄,金石部
黄金石,金石部
石黄,金石部
熏黄,金石部
雌黄,金石部
石膏,金石部
细理石,金石部
寒水石,金石部
滑石,金石部
画石,金石部
液石,金石部
石,金石部
脱石,金石部
冷石,金石部
番石,金石部
共石,金石部
不灰木,金石部
无灰木,金石部
五色石脂,金石部
炉甘石,金石部
炉先生,金石部
无名异,金石部
炉先生,金石部
石钟乳,金石部
留公乳,金石部
虚中,金石部
芦石,金石部
鹅管石,金石部
夏石,金石部
黄砂石,金石部
石脑油,金石部
石油,金石部
石漆,金石部
猛火油,金石部
雄黄油,金石部
硫磺油,金石部
石炭,金石部
煤炭,金石部
石墨,金石部
铁炭,金石部
乌金石,金石部
焦石,金石部
石灰,金石部
石垩,金石部
垩灰,金石部
希灰,金石部
煅石,金石部
白虎,金石部
矿灰,金石部
阳起石,金石部
羊起名,金石部
白石,金石部
石生,金石部
慈石,金石部
玄石,金石部
处石,金石部
铁石,金石部
吸针石,金石部
代赭石,金石部
须丸,金石部
血师,金石部
土朱,金石部
铁朱,金石部
禹余粮,金石部
白余粮,金石部
空青,金石部
杨梅青,金石部
曾青,金石部
曾,金石部
音层,金石部
曾青,金石部
绿青,金石部
石绿,金石部
大绿,金石部
扁青,金石部
石青,金石部
大青,金石部
石胆,金石部
胆矾,金石部
黑石,金石部
君石,金石部
毕石,金石部
铜勒,金石部
立制石,金石部
砒石,金石部
信石,金石部
人言,金石部
金星石,金石部
礞石,金石部
花乳石,金石部
花蕊石,金石部
金牙石,金石部
黄牙石,金石部
石燕,金石部
食盐,金石部
鹾,金石部
盐,金石部
胡盐,金石部
羌盐,金石部
青盐,金石部
秃登盐,金石部
陰士盐（按：即现在所称的大青盐）,金石部
卤碱,金石部
卤盐,金石部
寒石,金石部
石碱,金石部
凝水石,金石部
卤盐,金石部
寒石,金石部
石碱,金石部
玄精石,金石部
太乙玄精石,金石部
陰精石,金石部
玄英石,金石部
朴硝（硭硝、马牙硝）,金石部
硝石朴,金石部
盐硝,金石部
皮硝（“硝”原作为“消”）,金石部
玄明粉,金石部
白龙粉,金石部
硝石,金石部
硭硝,金石部
苦硝,金石部
焰硝,金石部
火硝,金石部
地霜,金石部
生硝,金石部
北帝玄珠,金石部
硇砂,金石部
砂,金石部
狄盐,金石部
北庭砂,金石部
气砂,金石部
透骨将军,金石部
蓬,金石部
鹏砂,金石部
盆砂,金石部
一作硼砂,金石部
石硫磺,金石部
硫磺,金石部
黄硇砂,金石部
黄牙,金石部
陽侯,金石部
将军,金石部
石硫赤,金石部
石亭脂,金石部
石硫丹,金石部
石硫芝,金石部
矾石,金石部
涅石,金石部
羽涅,金石部
羽泽,金石部
绿矾,金石部
皂矾,金石部
青矾,金石部
